valid,obj_type,thickness,color/bin_file_dir ,x,y,width,height,,,
1,1,4,aaff8080,0,0,640,720,,640,720
0,2,0,gen_starbucks_logo_450x458.bin,16,64,450,458,,466,522
1,1,4,ff0000ff,512,384,360,240,,872,624
1,1,4,ffff0000,128,64,450,458,,578,522
0,1,8,fffff00f,88,480,422,292,,510,772
1,1,4,ff00ff00,160,128,360,240,,520,368
0,1,4,ff00ffff,108,96,256,680,,364,776
0,1,2,ff0000ff,8,8,1908,1024,,1916,1032
0,1,2,ffff0000,96,620,600,512,,696,1132
0,1,2,fffff00f,1024,384,512,256,,1536,640
0,1,2,ff00ff00,32,764,512,256,,544,1020
0,3,8,ff00ffff,768,128,896,256,,1664,384
0,3,8,ff00ffff,896,256,768,384,,1664,640
0,3,8,ff00ffff,768,384,640,256,,1408,640
0,3,8,ff00ffff,640,256,768,128,,1408,384
1,3,8,ff00ffff,128,128,256,128,,384,256
1,3,8,ff00ffff,256,128,256,256,,512,384
1,3,8,ff00ffff,256,256,128,256,,384,512
1,3,8,ff00ffff,128,256,128,128,,256,384
0,3,4,ffff00ff,128,384,384,384,,512,768
0,3,4,ffff00ff,384,384,512,768,,896,1152
0,3,4,ffff00ff,512,768,0,768,,512,1536
0,3,8,ffff00ff,0,768,128,384,,128,1152
0,3,8,ffff00ff,1256,478,1448,145,,2704,623
0,3,8,ffff00ff,1448,145,1064,145,,2512,290
0,3,8,ffff00ff,1064,145,1256,478,,2320,623
0,3,8,ffff00ff,1064,367,1448,367,,2512,734
0,3,8,ffff00ff,1448,367,1256,34,,2704,401
0,3,8,ffff00ff,1256,34,1064,367,,2320,401
0,4,0,gen_starbucks_logo_450x458.bin,1088,512,450,458,,1538,970
